Classe,Acurácia,Precisão,Recall,F1-Score,ROC AUC
falha_1,0.9408740359897172,0.875,0.2413793103448276,0.3783783783783784,0.9292624521072796
falha_2,0.9408740359897172,0.9090909090909091,0.4878048780487805,0.6349206349206349,0.9499929913092234
falha_3,0.9665809768637532,0.972972972972973,0.8674698795180723,0.9171974522292994,0.9957870698480196
falha_4,0.9974293059125964,1.0,0.9230769230769231,0.96,0.9542757774140753
falha_5,0.9768637532133676,0.3333333333333333,0.125,0.18181818181818182,0.9525918635170603
falha_6,0.8508997429305912,0.6346153846153846,0.4583333333333333,0.532258064516129,0.8730064844023834
falha_outros,0.7634961439588689,0.7475728155339806,0.5384615384615384,0.6260162601626016,0.8242509522997328
